"num";"Наименование Технологические элементы(label)";"Код Технологические элементы(value)";"Комментарии";"Используемое изображение";"Другие варианты изображения";"Готово к проду"
"120";"HyperSQL";"HYPERSQL";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_hypersql.jpg?version=1&modificationDate=1632314089006&api=v2"";""Image"")";;
"121";"IBM Cloudant";"IBM_CLOUDANT";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ibm-cloudant.png?version=2&modificationDate=1632314308633&api=v2"";""Image"")";;
"122";"IBM Db2";"IBM_DB2";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ibm-db2.jpg?version=1&modificationDate=1632314418282&api=v2"";""Image"")";;
"123";"Impala";"IMPALA";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-impala_v2.png?version=1&modificationDate=1633005141027&api=v2"";""Image"")";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-impala.png?version=2&modificationDate=1633005166534&api=v2"";""Image"")";
"124";"InfluxDB";"INFLUXDB";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_influx-db.png?version=1&modificationDate=1632314721771&api=v2"";""Image"")";;
"125";"Informatica PowerCenter";"INFORMATICA_POWERCENTER";"Хранилище \ ETL";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/etl_informatica.png?version=1&modificationDate=1632314904301&api=v2"";""Image"")";;
"126";"Informix";"INFORMIX";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_informix.jpg?version=1&modificationDate=1632315059849&api=v2"";""Image"")";;
"127";"Ingres";"INGRES";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_ingres.png?version=1&modificationDate=1632315136406&api=v2"";""Image"")";;
"128";"Interbase";"INTERBASE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_interbase.png?version=1&modificationDate=1632315222808&api=v2"";""Image"")";;
"129";"InterSystems Caché";"INTERSYSTEMS_CACHÉ";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_intersystemcache.jpg?version=2&modificationDate=1632315409267&api=v2"";""Image"")";;
"130";"Jackrabbit";"JACKRABBIT";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_jackrabbit.png?version=1&modificationDate=1632315920017&api=v2"";""Image"")";;
"131";"Jira";"JIRA";"Обслуживание / поддержка / Прочее";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/other_jira.png?version=1&modificationDate=1632319441221&api=v2"";""Image"")";;
"132";"JMS";"JMS";"Интеграционные компоненты / Интеграционные поток / Message Flow";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/integreation-message-flow_jms.png?version=1&modificationDate=1632319562824&api=v2"";""Image"")";;
"133";"JVM";"JVM";"Серверная часть / All in One (логика + презентация + …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/all-in-one_jvm.png?version=1&modificationDate=1632319671514&api=v2"";""Image"")";;
"134";"Kaspersky ES";"KASPERSKY_ES";"Клиентская часть / Агент (исполняется без участия пользователя)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/agent_kaspersky-es.png?version=1&modificationDate=1632319863898&api=v2"";""Image"")";;
"135";"KDB+";"KDB+";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_kx.png?version=1&modificationDate=1632320009062&api=v2"";""Image"")";;
"136";"Knative";"KNATIVE";"Серверная часть / Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/servless_knative.jpg?version=2&modificationDate=1632320146387&api=v2"";""Image"")";;
"137";"Kubeless";"KUBELESS";"Серверная часть / Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/servless_kubeless.png.png?version=1&modificationDate=1632320278616&api=v2"";""Image"")";;
"138";"LakeFS";"LAKEFS";"Хранилище \ Объектное хранилище (S3, CEPH, BLOB и др.)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/object_storage_lake-fs.jpg?version=1&modificationDate=1632320665901&api=v2"";""Image"")";;
"139";"LASR Server";"LASR_SERVER";"Хранилище \ Аналитика";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/sas.png?version=2&modificationDate=1633077790629&api=v2"";""Image"")";;
"140";"LevelDB";"LEVELDB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_leveldb.png.png?version=1&modificationDate=1633005418390&api=v2"";""Image"")";;
